date,code,time,price,volume,bs
2026-06-16,000858,14:06:18,78.2500,28,2
2026-06-16,000858,14:06:21,78.2500,51,2
2026-06-16,000858,14:06:24,78.2500,1,2
2026-06-16,000858,14:06:30,78.2500,22,2
2026-06-16,000858,14:06:33,78.2600,6,1
2026-06-16,000858,14:06:36,78.2500,14,2
2026-06-16,000858,14:06:39,78.2600,6,1
2026-06-16,000858,14:06:42,78.2600,37,1
2026-06-16,000858,14:06:45,78.2500,12,2
2026-06-16,000858,14:06:48,78.2500,9,2
2026-06-16,000858,14:06:51,78.2600,2,1
2026-06-16,000858,14:06:54,78.2600,5,1
2026-06-16,000858,14:06:57,78.2500,62,2
2026-06-16,000858,14:07:00,78.2600,3,1
2026-06-16,000858,14:07:03,78.2600,27,1
2026-06-16,000858,14:07:06,78.2600,35,1
2026-06-16,000858,14:07:09,78.2600,20,1
2026-06-16,000858,14:07:12,78.2600,26,2
2026-06-16,000858,14:07:18,78.2700,3,1
2026-06-16,000858,14:07:24,78.2700,33,1
2026-06-16,000858,14:07:27,78.2600,12,2
2026-06-16,000858,14:07:30,78.2700,284,1
2026-06-16,000858,14:07:33,78.2700,53,2
2026-06-16,000858,14:07:36,78.2700,6,2
2026-06-16,000858,14:07:39,78.2800,15,1
2026-06-16,000858,14:07:42,78.2700,38,2
2026-06-16,000858,14:07:45,78.2700,5,1
2026-06-16,000858,14:07:48,78.2700,13,1
2026-06-16,000858,14:07:51,78.2700,51,1
2026-06-16,000858,14:07:54,78.2700,5,1
2026-06-16,000858,14:07:57,78.2700,21,2
2026-06-16,000858,14:08:00,78.2700,3,4
2026-06-16,000858,14:08:03,78.2600,9,2
2026-06-16,000858,14:08:06,78.2800,8,1
2026-06-16,000858,14:08:09,78.2800,1,1
2026-06-16,000858,14:08:12,78.2700,32,2
2026-06-16,000858,14:08:15,78.2700,1,1
2026-06-16,000858,14:08:18,78.2700,4,1
2026-06-16,000858,14:08:21,78.2700,4,1
2026-06-16,000858,14:08:24,78.2700,3,1
2026-06-16,000858,14:08:27,78.2600,9,2
2026-06-16,000858,14:08:30,78.2700,30,1
2026-06-16,000858,14:08:33,78.2700,23,1
2026-06-16,000858,14:08:36,78.2700,5,4
2026-06-16,000858,14:08:39,78.2700,12,1
2026-06-16,000858,14:08:42,78.2600,55,2
2026-06-16,000858,14:08:45,78.2600,16,2
2026-06-16,000858,14:08:48,78.2600,19,1
2026-06-16,000858,14:08:51,78.2600,9,4
2026-06-16,000858,14:08:54,78.2600,1,2
2026-06-16,000858,14:08:57,78.2600,6,2
2026-06-16,000858,14:09:00,78.2600,2,2
2026-06-16,000858,14:09:03,78.2600,4,2
2026-06-16,000858,14:09:06,78.2800,137,1
2026-06-16,000858,14:09:09,78.2700,5,4
2026-06-16,000858,14:09:12,78.2700,2,1
2026-06-16,000858,14:09:15,78.2700,10,2
2026-06-16,000858,14:09:18,78.2700,6,2
2026-06-16,000858,14:09:24,78.2800,8,1
2026-06-16,000858,14:09:27,78.2800,7,1
2026-06-16,000858,14:09:30,78.2800,26,1
2026-06-16,000858,14:09:33,78.2700,40,2
2026-06-16,000858,14:09:36,78.2700,19,2
2026-06-16,000858,14:09:39,78.2800,33,1
2026-06-16,000858,14:09:42,78.2700,39,2
2026-06-16,000858,14:09:45,78.2900,12,1
2026-06-16,000858,14:09:48,78.2800,14,2
2026-06-16,000858,14:09:51,78.2800,47,2
2026-06-16,000858,14:09:54,78.2800,17,1
2026-06-16,000858,14:09:57,78.2800,15,1
2026-06-16,000858,14:10:00,78.2800,8,1
2026-06-16,000858,14:10:03,78.2700,69,2
2026-06-16,000858,14:10:06,78.2700,11,1
2026-06-16,000858,14:10:09,78.2700,4,1
2026-06-16,000858,14:10:12,78.2700,13,1
2026-06-16,000858,14:10:15,78.2700,46,1
2026-06-16,000858,14:10:18,78.2700,18,2
2026-06-16,000858,14:10:21,78.2700,7,2
2026-06-16,000858,14:10:24,78.2800,16,1
2026-06-16,000858,14:10:27,78.2800,25,1
2026-06-16,000858,14:10:30,78.2800,1,2
2026-06-16,000858,14:10:36,78.2800,28,2
2026-06-16,000858,14:10:39,78.2800,6,2
2026-06-16,000858,14:10:42,78.2800,6,1
2026-06-16,000858,14:10:45,78.2900,3,1
2026-06-16,000858,14:10:48,78.2800,25,2
2026-06-16,000858,14:10:51,78.2900,1,1
2026-06-16,000858,14:10:54,78.2800,47,2
2026-06-16,000858,14:10:57,78.2800,3,4
2026-06-16,000858,14:11:00,78.2700,2,2
2026-06-16,000858,14:11:03,78.2700,2,2
2026-06-16,000858,14:11:06,78.2800,34,1
2026-06-16,000858,14:11:09,78.2700,26,2
2026-06-16,000858,14:11:12,78.2800,23,1
2026-06-16,000858,14:11:15,78.2700,60,2
2026-06-16,000858,14:11:18,78.2800,17,1
2026-06-16,000858,14:11:21,78.2800,6,1
2026-06-16,000858,14:11:24,78.2800,74,2
2026-06-16,000858,14:11:27,78.2800,5,1
2026-06-16,000858,14:11:30,78.2800,1,2
2026-06-16,000858,14:11:33,78.2900,3,1
2026-06-16,000858,14:11:36,78.2800,16,2
2026-06-16,000858,14:11:39,78.2900,19,1
2026-06-16,000858,14:11:42,78.2800,19,2
2026-06-16,000858,14:11:45,78.2900,13,1
2026-06-16,000858,14:11:48,78.2900,3,1
2026-06-16,000858,14:11:51,78.2900,10,1
2026-06-16,000858,14:11:54,78.2900,30,1
2026-06-16,000858,14:11:57,78.2900,54,1
2026-06-16,000858,14:12:00,78.2900,74,1
2026-06-16,000858,14:12:03,78.2900,37,2
2026-06-16,000858,14:12:06,78.2900,1,1
2026-06-16,000858,14:12:09,78.2800,19,2
2026-06-16,000858,14:12:12,78.3000,1,1
2026-06-16,000858,14:12:15,78.3000,17,1
2026-06-16,000858,14:12:18,78.3100,95,1
2026-06-16,000858,14:12:21,78.3300,97,1
2026-06-16,000858,14:12:24,78.3500,60,1
2026-06-16,000858,14:12:27,78.3500,33,1
2026-06-16,000858,14:12:30,78.3400,29,2
2026-06-16,000858,14:12:33,78.3400,15,2
2026-06-16,000858,14:12:36,78.3500,10,4
2026-06-16,000858,14:12:39,78.3400,1,2
2026-06-16,000858,14:12:42,78.3500,44,1
2026-06-16,000858,14:12:45,78.3400,29,2
2026-06-16,000858,14:12:48,78.3400,9,2
2026-06-16,000858,14:12:51,78.3300,11,2
2026-06-16,000858,14:12:54,78.3400,33,2
2026-06-16,000858,14:12:57,78.3400,13,2
2026-06-16,000858,14:13:00,78.3500,75,1
2026-06-16,000858,14:13:03,78.3500,7,1
2026-06-16,000858,14:13:06,78.3400,47,2
2026-06-16,000858,14:13:09,78.3500,3,1
2026-06-16,000858,14:13:12,78.3500,6,1
2026-06-16,000858,14:13:15,78.3500,6,1
2026-06-16,000858,14:13:18,78.3500,6,1
2026-06-16,000858,14:13:21,78.3400,7,2
2026-06-16,000858,14:13:24,78.3400,6,2
2026-06-16,000858,14:13:27,78.3500,24,1
2026-06-16,000858,14:13:30,78.3400,27,2
2026-06-16,000858,14:13:33,78.3500,5,1
2026-06-16,000858,14:13:36,78.3500,12,1
2026-06-16,000858,14:13:39,78.3400,14,2
2026-06-16,000858,14:13:42,78.3400,3,2
2026-06-16,000858,14:13:45,78.3500,8,1
2026-06-16,000858,14:13:48,78.3500,6,1
2026-06-16,000858,14:13:51,78.3500,9,1
2026-06-16,000858,14:13:54,78.3500,6,1
2026-06-16,000858,14:13:57,78.3600,34,1
2026-06-16,000858,14:14:00,78.3600,31,1
2026-06-16,000858,14:14:03,78.3600,21,1
2026-06-16,000858,14:14:06,78.3600,14,1
2026-06-16,000858,14:14:09,78.3500,46,2
2026-06-16,000858,14:14:12,78.3400,78,2
2026-06-16,000858,14:14:15,78.3500,122,1
2026-06-16,000858,14:14:18,78.3300,9,2
2026-06-16,000858,14:14:21,78.3300,22,1
2026-06-16,000858,14:14:24,78.3400,35,1
2026-06-16,000858,14:14:27,78.3200,12,2
2026-06-16,000858,14:14:30,78.3200,46,2
2026-06-16,000858,14:14:33,78.3200,8,1
2026-06-16,000858,14:14:36,78.3100,35,2
2026-06-16,000858,14:14:39,78.3100,12,2
2026-06-16,000858,14:14:42,78.3200,5,1
2026-06-16,000858,14:14:45,78.3200,16,1
2026-06-16,000858,14:14:48,78.3100,2,1
2026-06-16,000858,14:14:51,78.3100,10,4
2026-06-16,000858,14:14:54,78.3100,25,1
2026-06-16,000858,14:14:57,78.3100,16,2
2026-06-16,000858,14:15:00,78.3000,10,2
2026-06-16,000858,14:15:03,78.3100,18,1
2026-06-16,000858,14:15:06,78.3000,43,2
2026-06-16,000858,14:15:09,78.3100,43,1
2026-06-16,000858,14:15:12,78.3100,1,2
2026-06-16,000858,14:15:15,78.3000,3,2
2026-06-16,000858,14:15:18,78.3000,22,2
2026-06-16,000858,14:15:21,78.3100,4,4
2026-06-16,000858,14:15:24,78.3200,85,1
2026-06-16,000858,14:15:27,78.3100,41,2
2026-06-16,000858,14:15:30,78.3100,11,2
2026-06-16,000858,14:15:33,78.3000,24,2
2026-06-16,000858,14:15:36,78.3200,5,1
2026-06-16,000858,14:15:39,78.3200,8,1
2026-06-16,000858,14:15:42,78.3200,4,1
2026-06-16,000858,14:15:45,78.3200,10,1
2026-06-16,000858,14:15:48,78.3200,12,1
2026-06-16,000858,14:15:51,78.3100,5,2
2026-06-16,000858,14:15:54,78.3200,71,1
2026-06-16,000858,14:15:57,78.3200,53,1
2026-06-16,000858,14:16:00,78.3200,7,1
2026-06-16,000858,14:16:03,78.3200,5,1
2026-06-16,000858,14:16:06,78.3200,4,1
2026-06-16,000858,14:16:09,78.3200,29,1
2026-06-16,000858,14:16:12,78.3300,8,1
2026-06-16,000858,14:16:15,78.3200,31,2
2026-06-16,000858,14:16:18,78.3200,55,2
2026-06-16,000858,14:16:21,78.3200,58,1
2026-06-16,000858,14:16:24,78.3200,28,2
2026-06-16,000858,14:16:27,78.3100,18,2
2026-06-16,000858,14:16:30,78.3100,17,2
2026-06-16,000858,14:16:33,78.3200,28,1
2026-06-16,000858,14:16:36,78.3200,4,1
2026-06-16,000858,14:16:39,78.3300,29,1
2026-06-16,000858,14:16:42,78.3200,25,2
2026-06-16,000858,14:16:45,78.3200,7,2
2026-06-16,000858,14:16:48,78.3300,4,1
2026-06-16,000858,14:16:51,78.3300,10,1
2026-06-16,000858,14:16:54,78.3200,3,2
2026-06-16,000858,14:16:57,78.3200,28,2
2026-06-16,000858,14:17:00,78.3200,6,2
2026-06-16,000858,14:17:03,78.3200,21,2
2026-06-16,000858,14:17:06,78.3300,31,1
2026-06-16,000858,14:17:09,78.3300,37,1
2026-06-16,000858,14:17:12,78.3300,13,1
2026-06-16,000858,14:17:15,78.3200,14,2
2026-06-16,000858,14:17:18,78.3300,26,1
2026-06-16,000858,14:17:21,78.3200,6,2
2026-06-16,000858,14:17:24,78.3300,63,1
2026-06-16,000858,14:17:27,78.3200,20,2
2026-06-16,000858,14:17:30,78.3200,4,2
2026-06-16,000858,14:17:33,78.3200,28,2
2026-06-16,000858,14:17:36,78.3300,1,1
2026-06-16,000858,14:17:39,78.3300,1,1
2026-06-16,000858,14:17:42,78.3300,3,1
2026-06-16,000858,14:17:45,78.3200,24,2
2026-06-16,000858,14:17:48,78.3300,30,1
2026-06-16,000858,14:17:57,78.3300,3,1
2026-06-16,000858,14:18:00,78.3200,47,2
2026-06-16,000858,14:18:03,78.3200,6,2
2026-06-16,000858,14:18:06,78.3300,22,1
2026-06-16,000858,14:18:09,78.3200,18,2
2026-06-16,000858,14:18:12,78.3300,6,1
2026-06-16,000858,14:18:15,78.3200,8,2
2026-06-16,000858,14:18:18,78.3200,63,2
2026-06-16,000858,14:18:21,78.3200,38,2
2026-06-16,000858,14:18:24,78.3300,26,1
2026-06-16,000858,14:18:27,78.3400,51,1
2026-06-16,000858,14:18:30,78.3400,112,1
2026-06-16,000858,14:18:33,78.3600,75,1
2026-06-16,000858,14:18:36,78.3700,82,1
2026-06-16,000858,14:18:39,78.3700,87,1
2026-06-16,000858,14:18:42,78.3700,18,2
2026-06-16,000858,14:18:45,78.3800,20,1
2026-06-16,000858,14:18:48,78.3800,41,1
2026-06-16,000858,14:18:51,78.3800,34,1
2026-06-16,000858,14:18:54,78.3800,5,1
2026-06-16,000858,14:18:57,78.3900,44,1
2026-06-16,000858,14:19:00,78.3900,1,1
2026-06-16,000858,14:19:03,78.3800,7,2
2026-06-16,000858,14:19:06,78.3900,32,1
2026-06-16,000858,14:19:09,78.3900,120,1
2026-06-16,000858,14:19:12,78.3900,26,2
2026-06-16,000858,14:19:15,78.4200,206,1
2026-06-16,000858,14:19:18,78.4100,16,2
2026-06-16,000858,14:19:21,78.4100,27,2
2026-06-16,000858,14:19:24,78.4100,20,2
2026-06-16,000858,14:19:27,78.4100,34,2
2026-06-16,000858,14:19:30,78.4000,17,2
2026-06-16,000858,14:19:33,78.4100,30,1
2026-06-16,000858,14:19:36,78.4100,36,1
2026-06-16,000858,14:19:39,78.4000,1,2
2026-06-16,000858,14:19:42,78.4000,45,2
2026-06-16,000858,14:19:45,78.4200,86,1
2026-06-16,000858,14:19:48,78.4100,2,4
2026-06-16,000858,14:19:51,78.4300,38,1
2026-06-16,000858,14:19:54,78.4200,6,1
2026-06-16,000858,14:19:57,78.4200,6,1
2026-06-16,000858,14:20:00,78.4300,56,1
2026-06-16,000858,14:20:03,78.4300,13,1
2026-06-16,000858,14:20:06,78.4300,5,1
2026-06-16,000858,14:20:09,78.4200,28,2
2026-06-16,000858,14:20:12,78.4400,83,1
2026-06-16,000858,14:20:15,78.4300,14,4
2026-06-16,000858,14:20:18,78.4400,1,1
2026-06-16,000858,14:20:21,78.4500,204,1
2026-06-16,000858,14:20:24,78.4600,17,1
2026-06-16,000858,14:20:27,78.4500,15,4
2026-06-16,000858,14:20:30,78.4600,17,1
2026-06-16,000858,14:20:33,78.4600,17,1
2026-06-16,000858,14:20:36,78.4600,26,1
2026-06-16,000858,14:20:39,78.4600,3,2
2026-06-16,000858,14:20:42,78.4700,11,1
2026-06-16,000858,14:20:45,78.4700,15,1
2026-06-16,000858,14:20:48,78.4600,14,2
2026-06-16,000858,14:20:51,78.4700,25,1
2026-06-16,000858,14:20:54,78.4600,13,2
2026-06-16,000858,14:20:57,78.4600,82,2
2026-06-16,000858,14:21:00,78.4600,167,2
2026-06-16,000858,14:21:03,78.4700,83,1
2026-06-16,000858,14:21:06,78.4400,61,2
2026-06-16,000858,14:21:09,78.4400,10,1
2026-06-16,000858,14:21:12,78.4400,11,1
2026-06-16,000858,14:21:15,78.4300,21,2
2026-06-16,000858,14:21:18,78.4300,32,2
2026-06-16,000858,14:21:21,78.4400,12,4
2026-06-16,000858,14:21:24,78.4500,5,1
2026-06-16,000858,14:21:27,78.4400,6,2
2026-06-16,000858,14:21:30,78.4600,84,1
2026-06-16,000858,14:21:33,78.4600,55,1
2026-06-16,000858,14:21:36,78.4700,19,1
2026-06-16,000858,14:21:39,78.4700,18,1
2026-06-16,000858,14:21:42,78.4600,176,2
2026-06-16,000858,14:21:45,78.4600,29,2
2026-06-16,000858,14:21:48,78.4700,18,1
2026-06-16,000858,14:21:51,78.4700,27,2
2026-06-16,000858,14:21:54,78.4800,90,1
2026-06-16,000858,14:21:57,78.4800,33,1
2026-06-16,000858,14:22:00,78.4700,53,2
2026-06-16,000858,14:22:03,78.4700,12,2
2026-06-16,000858,14:22:06,78.4700,10,2
2026-06-16,000858,14:22:09,78.4700,44,2
2026-06-16,000858,14:22:12,78.4800,22,1
2026-06-16,000858,14:22:15,78.4800,30,1
2026-06-16,000858,14:22:18,78.4700,18,2
2026-06-16,000858,14:22:21,78.4700,2,2
2026-06-16,000858,14:22:24,78.4700,8,2
2026-06-16,000858,14:22:27,78.4700,35,2
2026-06-16,000858,14:22:30,78.4600,27,2
2026-06-16,000858,14:22:33,78.4700,33,2
2026-06-16,000858,14:22:36,78.4600,10,4
2026-06-16,000858,14:22:39,78.4500,18,1
2026-06-16,000858,14:22:42,78.4300,6,2
2026-06-16,000858,14:22:45,78.4400,10,4
2026-06-16,000858,14:22:48,78.4300,44,2
2026-06-16,000858,14:22:51,78.4400,10,4
2026-06-16,000858,14:22:54,78.4300,19,2
2026-06-16,000858,14:22:57,78.4400,25,1
2026-06-16,000858,14:23:00,78.4400,7,1
2026-06-16,000858,14:23:03,78.4400,3,1
2026-06-16,000858,14:23:06,78.4400,6,1
2026-06-16,000858,14:23:09,78.4400,11,1
2026-06-16,000858,14:23:12,78.4400,10,2
2026-06-16,000858,14:23:15,78.4400,7,1
2026-06-16,000858,14:23:18,78.4400,26,1
2026-06-16,000858,14:23:21,78.4400,11,2
2026-06-16,000858,14:23:24,78.4400,18,1
2026-06-16,000858,14:23:27,78.4400,8,1
2026-06-16,000858,14:23:30,78.4300,10,2
2026-06-16,000858,14:23:33,78.4400,9,1
2026-06-16,000858,14:23:39,78.4300,22,2
2026-06-16,000858,14:23:42,78.4300,16,2
2026-06-16,000858,14:23:45,78.4400,3,1
2026-06-16,000858,14:23:48,78.4300,42,2
2026-06-16,000858,14:23:51,78.4300,34,2
2026-06-16,000858,14:23:54,78.4300,9,2
2026-06-16,000858,14:23:57,78.4300,19,2
2026-06-16,000858,14:24:00,78.4200,139,2
2026-06-16,000858,14:24:03,78.4200,6,1
2026-06-16,000858,14:24:06,78.4200,38,1
2026-06-16,000858,14:24:09,78.4000,3,2
2026-06-16,000858,14:24:12,78.4100,20,1
2026-06-16,000858,14:24:15,78.3800,178,2
2026-06-16,000858,14:24:18,78.4100,4,1
2026-06-16,000858,14:24:21,78.3900,6,2
2026-06-16,000858,14:24:24,78.4100,12,1
2026-06-16,000858,14:24:27,78.3800,13,2
2026-06-16,000858,14:24:30,78.4000,7,1
2026-06-16,000858,14:24:33,78.4000,15,4
2026-06-16,000858,14:24:36,78.4000,7,2
2026-06-16,000858,14:24:39,78.4100,17,1
2026-06-16,000858,14:24:42,78.4000,27,2
2026-06-16,000858,14:24:45,78.4000,31,2
2026-06-16,000858,14:24:48,78.4100,51,1
2026-06-16,000858,14:24:51,78.4300,234,1
2026-06-16,000858,14:24:54,78.4300,52,1
2026-06-16,000858,14:24:57,78.4300,40,2
2026-06-16,000858,14:25:00,78.4200,21,2
2026-06-16,000858,14:25:03,78.4200,7,2
2026-06-16,000858,14:25:06,78.4200,19,2
2026-06-16,000858,14:25:09,78.4200,7,2
2026-06-16,000858,14:25:12,78.4200,4,2
2026-06-16,000858,14:25:15,78.4200,29,2
2026-06-16,000858,14:25:18,78.4200,36,1
2026-06-16,000858,14:25:21,78.4200,8,1
2026-06-16,000858,14:25:24,78.4200,7,1
2026-06-16,000858,14:25:27,78.4100,4,2
2026-06-16,000858,14:25:30,78.4300,30,1
2026-06-16,000858,14:25:33,78.4200,7,2
2026-06-16,000858,14:25:36,78.4200,24,2
2026-06-16,000858,14:25:39,78.4200,5,1
2026-06-16,000858,14:25:42,78.4200,5,1
2026-06-16,000858,14:25:45,78.4200,56,1
2026-06-16,000858,14:25:48,78.4100,14,2
2026-06-16,000858,14:25:51,78.4100,11,2
2026-06-16,000858,14:25:54,78.4100,9,2
2026-06-16,000858,14:25:57,78.4100,44,2
2026-06-16,000858,14:26:00,78.4200,10,1
2026-06-16,000858,14:26:03,78.4200,23,1
2026-06-16,000858,14:26:06,78.4300,4,1
2026-06-16,000858,14:26:09,78.4200,25,2
2026-06-16,000858,14:26:12,78.4300,6,1
2026-06-16,000858,14:26:15,78.4300,8,1
2026-06-16,000858,14:26:18,78.4200,19,2
2026-06-16,000858,14:26:21,78.4200,14,2
2026-06-16,000858,14:26:24,78.4200,5,1
2026-06-16,000858,14:26:27,78.4200,16,1
2026-06-16,000858,14:26:30,78.4100,7,2
2026-06-16,000858,14:26:33,78.4200,2,1
2026-06-16,000858,14:26:36,78.4200,6,1
2026-06-16,000858,14:26:39,78.4100,13,2
2026-06-16,000858,14:26:42,78.4100,52,2
2026-06-16,000858,14:26:45,78.4200,26,1
2026-06-16,000858,14:26:48,78.4200,12,1
2026-06-16,000858,14:26:51,78.4200,24,1
2026-06-16,000858,14:26:54,78.4500,312,1
2026-06-16,000858,14:26:57,78.4500,51,1
2026-06-16,000858,14:27:00,78.4600,109,1
2026-06-16,000858,14:27:03,78.4600,18,1
2026-06-16,000858,14:27:06,78.4600,13,1
2026-06-16,000858,14:27:09,78.4600,8,2
2026-06-16,000858,14:27:12,78.4600,10,2
2026-06-16,000858,14:27:15,78.4600,18,2
2026-06-16,000858,14:27:21,78.4400,84,2
2026-06-16,000858,14:27:24,78.4300,24,2
2026-06-16,000858,14:27:27,78.4500,58,1
2026-06-16,000858,14:27:30,78.4300,7,2
2026-06-16,000858,14:27:33,78.4300,5,2
2026-06-16,000858,14:27:36,78.4300,23,2
2026-06-16,000858,14:27:39,78.4300,25,2
2026-06-16,000858,14:27:42,78.4400,19,1
2026-06-16,000858,14:27:45,78.4300,66,2
2026-06-16,000858,14:27:48,78.4300,28,4
2026-06-16,000858,14:27:51,78.4400,3,2
2026-06-16,000858,14:27:54,78.4300,19,2
2026-06-16,000858,14:27:57,78.4300,26,2
2026-06-16,000858,14:28:03,78.4300,15,1
2026-06-16,000858,14:28:06,78.4000,183,2
2026-06-16,000858,14:28:09,78.3900,8,2
2026-06-16,000858,14:28:12,78.3900,2,2
2026-06-16,000858,14:28:15,78.4000,10,1
2026-06-16,000858,14:28:18,78.4000,2,2
2026-06-16,000858,14:28:21,78.4000,14,2
2026-06-16,000858,14:28:24,78.4000,4,1
2026-06-16,000858,14:28:27,78.4000,1,1
2026-06-16,000858,14:28:30,78.4000,1,1
2026-06-16,000858,14:28:33,78.3900,30,2
2026-06-16,000858,14:28:36,78.4000,19,1
2026-06-16,000858,14:28:39,78.4000,13,1
2026-06-16,000858,14:28:42,78.3900,9,2
2026-06-16,000858,14:28:45,78.4000,1,2
2026-06-16,000858,14:28:48,78.4000,5,2
2026-06-16,000858,14:28:54,78.4100,27,1
2026-06-16,000858,14:28:57,78.4000,11,2
2026-06-16,000858,14:29:00,78.4000,168,2
2026-06-16,000858,14:29:03,78.4000,67,2
2026-06-16,000858,14:29:06,78.3900,19,2
2026-06-16,000858,14:29:09,78.3800,99,2
2026-06-16,000858,14:29:12,78.3900,16,1
2026-06-16,000858,14:29:15,78.3900,4,2
2026-06-16,000858,14:29:18,78.3900,32,2
2026-06-16,000858,14:29:21,78.3900,6,2
2026-06-16,000858,14:29:24,78.3800,52,2
2026-06-16,000858,14:29:27,78.3800,6,1
2026-06-16,000858,14:29:30,78.3800,11,2
2026-06-16,000858,14:29:33,78.3900,12,1
2026-06-16,000858,14:29:36,78.3800,52,2
2026-06-16,000858,14:29:39,78.3900,75,1
2026-06-16,000858,14:29:42,78.3900,25,2
2026-06-16,000858,14:29:45,78.3900,52,2
2026-06-16,000858,14:29:48,78.3800,55,2
2026-06-16,000858,14:29:51,78.3800,36,2
2026-06-16,000858,14:29:54,78.4000,5,1
2026-06-16,000858,14:29:57,78.3800,28,2
2026-06-16,000858,14:30:00,78.3800,4,2
2026-06-16,000858,14:30:03,78.3900,220,1
2026-06-16,000858,14:30:06,78.4100,49,1
2026-06-16,000858,14:30:09,78.4200,47,1
2026-06-16,000858,14:30:12,78.4300,10,1
2026-06-16,000858,14:30:15,78.4400,8,1
2026-06-16,000858,14:30:18,78.4300,3,2
2026-06-16,000858,14:30:21,78.4300,7,2
2026-06-16,000858,14:30:24,78.4400,2,1
2026-06-16,000858,14:30:27,78.4300,7,2
2026-06-16,000858,14:30:30,78.4300,2,2
2026-06-16,000858,14:30:33,78.4300,13,2
2026-06-16,000858,14:30:39,78.4400,3,1
2026-06-16,000858,14:30:42,78.4300,11,2
2026-06-16,000858,14:30:45,78.4400,2,1
2026-06-16,000858,14:30:48,78.4300,54,2
2026-06-16,000858,14:30:51,78.4300,20,2
2026-06-16,000858,14:30:54,78.4300,21,2
2026-06-16,000858,14:30:57,78.4300,14,2
2026-06-16,000858,14:31:00,78.4200,146,2
2026-06-16,000858,14:31:03,78.4100,47,2
2026-06-16,000858,14:31:06,78.4200,18,1
2026-06-16,000858,14:31:09,78.4200,2,1
2026-06-16,000858,14:31:12,78.4200,4,1
