date,code,time,price,volume,bs
2026-05-18,600036,14:06:59,37.4100,103,2
2026-05-18,600036,14:07:02,37.4100,241,2
2026-05-18,600036,14:07:05,37.4100,254,2
2026-05-18,600036,14:07:08,37.4100,168,1
2026-05-18,600036,14:07:11,37.4100,33,1
2026-05-18,600036,14:07:14,37.4000,12,2
2026-05-18,600036,14:07:17,37.4000,23,2
2026-05-18,600036,14:07:20,37.4100,28,1
2026-05-18,600036,14:07:23,37.4000,33,2
2026-05-18,600036,14:07:26,37.3900,2727,2
2026-05-18,600036,14:07:29,37.3900,100,1
2026-05-18,600036,14:07:32,37.3900,96,1
2026-05-18,600036,14:07:35,37.3900,23,1
2026-05-18,600036,14:07:38,37.3800,101,2
2026-05-18,600036,14:07:41,37.3800,59,2
2026-05-18,600036,14:07:44,37.3800,160,2
2026-05-18,600036,14:07:47,37.3900,40,1
2026-05-18,600036,14:07:50,37.3900,228,1
2026-05-18,600036,14:07:53,37.3800,64,2
2026-05-18,600036,14:07:56,37.3900,32,1
2026-05-18,600036,14:07:59,37.3900,122,1
2026-05-18,600036,14:08:02,37.3900,54,1
2026-05-18,600036,14:08:05,37.3800,204,2
2026-05-18,600036,14:08:08,37.3800,131,2
2026-05-18,600036,14:08:11,37.3900,121,1
2026-05-18,600036,14:08:14,37.3800,22,2
2026-05-18,600036,14:08:17,37.3900,78,1
2026-05-18,600036,14:08:20,37.3800,11,2
2026-05-18,600036,14:08:23,37.3900,78,1
2026-05-18,600036,14:08:26,37.3900,72,1
2026-05-18,600036,14:08:29,37.3900,62,1
2026-05-18,600036,14:08:32,37.3800,65,2
2026-05-18,600036,14:08:35,37.3900,126,1
2026-05-18,600036,14:08:38,37.3900,16,1
2026-05-18,600036,14:08:41,37.3900,180,1
2026-05-18,600036,14:08:44,37.3900,346,1
2026-05-18,600036,14:08:47,37.3900,7,2
2026-05-18,600036,14:08:50,37.4000,12,1
2026-05-18,600036,14:08:53,37.3900,8,2
2026-05-18,600036,14:08:56,37.3900,211,2
2026-05-18,600036,14:08:59,37.3900,8,1
2026-05-18,600036,14:09:02,37.3800,25,2
2026-05-18,600036,14:09:05,37.3900,28,1
2026-05-18,600036,14:09:08,37.3900,19,1
2026-05-18,600036,14:09:11,37.3900,86,1
2026-05-18,600036,14:09:14,37.3900,58,1
2026-05-18,600036,14:09:17,37.3800,38,2
2026-05-18,600036,14:09:20,37.3900,60,1
2026-05-18,600036,14:09:23,37.3900,66,1
2026-05-18,600036,14:09:26,37.3900,64,1
2026-05-18,600036,14:09:29,37.3900,33,1
2026-05-18,600036,14:09:32,37.3800,25,2
2026-05-18,600036,14:09:35,37.3900,89,1
2026-05-18,600036,14:09:38,37.3900,123,1
2026-05-18,600036,14:09:41,37.3800,32,2
2026-05-18,600036,14:09:44,37.3900,51,1
2026-05-18,600036,14:09:47,37.3800,97,2
