date,code,time,price,volume,bs
2026-04-02,600900,14:06:49,26.8800,6,2
2026-04-02,600900,14:06:52,26.8800,65,2
2026-04-02,600900,14:06:55,26.8800,64,2
2026-04-02,600900,14:06:58,26.8800,52,2
2026-04-02,600900,14:07:01,26.8900,25,1
2026-04-02,600900,14:07:04,26.8800,70,2
2026-04-02,600900,14:07:07,26.8900,5,1
2026-04-02,600900,14:07:10,26.8900,99,1
2026-04-02,600900,14:07:13,26.8900,38,1
2026-04-02,600900,14:07:16,26.8900,29,1
2026-04-02,600900,14:07:19,26.8900,57,1
2026-04-02,600900,14:07:22,26.8900,15,1
2026-04-02,600900,14:07:25,26.8800,51,2
2026-04-02,600900,14:07:28,26.8900,92,1
2026-04-02,600900,14:07:31,26.8900,78,1
2026-04-02,600900,14:07:34,26.8900,18,1
2026-04-02,600900,14:07:37,26.8800,94,2
2026-04-02,600900,14:07:40,26.8900,27,1
2026-04-02,600900,14:07:43,26.8900,22,1
2026-04-02,600900,14:07:46,26.8900,1,1
2026-04-02,600900,14:07:49,26.8800,9,2
2026-04-02,600900,14:07:52,26.8800,171,2
2026-04-02,600900,14:07:55,26.8900,93,1
2026-04-02,600900,14:07:58,26.8900,24,1
2026-04-02,600900,14:08:01,26.8800,328,2
2026-04-02,600900,14:08:04,26.8900,1100,1
2026-04-02,600900,14:08:07,26.8900,73,1
2026-04-02,600900,14:08:10,26.8900,30,1
2026-04-02,600900,14:08:13,26.8900,35,1
2026-04-02,600900,14:08:16,26.8900,10,1
2026-04-02,600900,14:08:19,26.8900,100,1
2026-04-02,600900,14:08:22,26.8900,68,1
2026-04-02,600900,14:08:25,26.8900,7,1
2026-04-02,600900,14:08:28,26.8900,18,1
2026-04-02,600900,14:08:31,26.8800,72,2
2026-04-02,600900,14:08:34,26.8900,11,1
2026-04-02,600900,14:08:37,26.8800,83,2
2026-04-02,600900,14:08:40,26.8900,4,1
2026-04-02,600900,14:08:43,26.8900,7,1
2026-04-02,600900,14:08:46,26.8900,31,1
2026-04-02,600900,14:08:49,26.8900,144,1
2026-04-02,600900,14:08:52,26.8900,226,1
2026-04-02,600900,14:08:55,26.8800,173,2
2026-04-02,600900,14:08:58,26.9000,93,1
2026-04-02,600900,14:09:01,26.9000,136,1
2026-04-02,600900,14:09:04,26.9000,887,1
2026-04-02,600900,14:09:07,26.8900,241,2
2026-04-02,600900,14:09:10,26.9000,22,1
2026-04-02,600900,14:09:13,26.9000,145,1
2026-04-02,600900,14:09:16,26.9000,129,1
2026-04-02,600900,14:09:19,26.8900,81,2
2026-04-02,600900,14:09:22,26.9000,72,1
2026-04-02,600900,14:09:25,26.8900,102,2
2026-04-02,600900,14:09:28,26.9100,115,1
2026-04-02,600900,14:09:31,26.9000,3,2
2026-04-02,600900,14:09:34,26.9000,1,2
2026-04-02,600900,14:09:37,26.9100,25,1
2026-04-02,600900,14:09:40,26.9100,7,1
2026-04-02,600900,14:09:43,26.9100,17,1
2026-04-02,600900,14:09:46,26.9100,19,1
2026-04-02,600900,14:09:49,26.9100,63,1
2026-04-02,600900,14:09:52,26.9000,1777,2
