date,code,time,price,volume,bs
2026-06-29,600900,09:30:00,26.54,11,1
2026-06-29,600900,09:30:03,26.51,1825,1
2026-06-29,600900,09:30:06,26.50,5320,1
2026-06-29,600900,09:30:09,26.50,1631,1
2026-06-29,600900,09:30:12,26.46,4828,1
2026-06-29,600900,09:30:15,26.43,4424,1
2026-06-29,600900,09:30:18,26.41,2223,1
2026-06-29,600900,09:30:21,26.38,2800,1
2026-06-29,600900,09:30:24,26.38,1766,2
2026-06-29,600900,09:30:27,26.34,427,1
2026-06-29,600900,09:30:30,26.35,1542,2
2026-06-29,600900,09:30:33,26.42,3713,2
2026-06-29,600900,09:30:36,26.42,2112,1
2026-06-29,600900,09:30:39,26.44,1817,2
2026-06-29,600900,09:30:42,26.41,1235,1
2026-06-29,600900,09:30:45,26.40,1514,1
2026-06-29,600900,09:30:48,26.44,582,2
2026-06-29,600900,09:30:51,26.41,780,1
2026-06-29,600900,09:30:54,26.45,1212,2
2026-06-29,600900,09:30:57,26.41,1062,1
2026-06-29,600900,09:31:00,26.41,576,2
2026-06-29,600900,09:31:03,26.41,853,1
2026-06-29,600900,09:31:06,26.41,566,1
2026-06-29,600900,09:31:09,26.43,1193,2
2026-06-29,600900,09:31:12,26.43,1588,2
2026-06-29,600900,09:31:15,26.43,1700,1
2026-06-29,600900,09:31:18,26.46,1619,2
2026-06-29,600900,09:31:21,26.42,664,1
2026-06-29,600900,09:31:24,26.40,1271,1
2026-06-29,600900,09:31:27,26.42,821,2
2026-06-29,600900,09:31:30,26.41,384,1
2026-06-29,600900,09:31:33,26.43,1274,2
2026-06-29,600900,09:31:36,26.41,1125,2
2026-06-29,600900,09:31:39,26.44,1985,2
2026-06-29,600900,09:31:42,26.42,625,1
2026-06-29,600900,09:31:45,26.42,567,2
2026-06-29,600900,09:31:48,26.42,488,1
2026-06-29,600900,09:31:51,26.45,1103,2
2026-06-29,600900,09:31:54,26.43,803,1
2026-06-29,600900,09:31:57,26.42,1153,1
2026-06-29,600900,09:32:00,26.46,501,2
2026-06-29,600900,09:32:03,26.44,461,2
2026-06-29,600900,09:32:06,26.43,2934,1
2026-06-29,600900,09:32:09,26.46,561,2
2026-06-29,600900,09:32:12,26.44,627,1
2026-06-29,600900,09:32:15,26.44,494,2
2026-06-29,600900,09:32:18,26.44,538,2
2026-06-29,600900,09:32:21,26.41,1209,1
2026-06-29,600900,09:32:24,26.38,378,1
2026-06-29,600900,09:32:27,26.38,3807,1
2026-06-29,600900,09:32:30,26.37,507,1
