date,code,name,title,body,source,url,provider
2026-06-29,600519,贵州茅台,A股白酒板块震荡反弹，酒鬼酒盘中触及涨停，科技股却突发跳水,图据Wind 酒鬼酒（000799.SZ）领涨，盘中一度触及涨停，舍得酒业（600702.SH）、贵州茅台（600519.SH）、山西汾酒（600809.SH）、迎驾贡酒（603198.SH）涨幅靠前，一度涨超3%，水井坊（600779.SH）、口子窖（603589.SH）、洋河股份,红星资本局,http://finance.eastmoney.com/a/202606293786531311.html,akshare
2026-06-26,600519,贵州茅台,每10股派280.24元，贵州茅台今日分红,贵州茅台600519.SH)6月21日发布2025年年度权益分派实施公告，宣布以总股本扣除回购专用账户后的1250081601股为基数，每股派发现金红利28.02423元（含税，每10股派280.24元），合计派发现金红利约350.33亿元。,21世纪经济报道,http://finance.eastmoney.com/a/202606263783940510.html,akshare
2026-06-21,600519,贵州茅台,贵州茅台：拟实施2025年度权益分派 股权登记日为6月25日,人民财讯6月21日电，贵州茅台6005196月21日公告，公司拟实施2025年度权益分派，每股派发现金红利28.02423元(含税)，共计派发现金红利350.33亿元，股权登记日为2026年6月25日，除权(息)日及现金红利发放日为2026年6月26日。,证券时报网,http://finance.eastmoney.com/a/202606213777040165.html,akshare
2026-06-21,600519,贵州茅台,贵州茅台：2025年度每股派发现金红利28.02元 股权登记日为2026年6月25日,"贵州茅台600519.SH)公告称，公司2025年年度权益分派方案已获股东大会审议通过，以总股本扣除回购专用账户股份后的1,250,081,601股为基数，每股派发现金红利28.02423元(含税)，共计派发现金红利350.33亿元。",财联社,http://finance.eastmoney.com/a/202606213777008876.html,akshare
2026-06-21,600519,贵州茅台,贵州茅台将分红超350亿元 上年同期为346.71亿元,红星资本局6月21日消息，今日，贵州茅台（600519.SH）发布2025年年度权益分派实施公告，根据公告，本次利润分配方案以该公司总股本扣除回购专用账户内的股份12.5亿股为基数，每股派发现金红利28.02元（含税），共计派发现金红利350.33亿元。,红星资本局,http://finance.eastmoney.com/a/202606213777049991.html,akshare
2026-06-21,600519,贵州茅台,贵州茅台350亿元分红下周发放,6月21日，贵州茅台600519.SH)发布2025年年度权益分派实施公告，宣布以总股本扣除回购专用账户后的1250081601股为基数，每股派发现金红利28.02423元（含税），合计派发现金红利约350.33亿元。,21世纪经济报道,http://finance.eastmoney.com/a/202606213777103550.html,akshare
2026-06-22,600519,贵州茅台,AI算力缔造新标杆！中际旭创市值、股价双超茅台,山东光模块龙头中际旭创（300308.SZ）盘中股价突破1400元，市值达1.56万亿元；贵州茅台（600519.SH）股价、市值分别为1228元、1.54万亿元，中际旭创股价、市值双超贵州茅台。 过去，市场以“茅台”作为核心资产的标杆。,海报新闻,http://finance.eastmoney.com/a/202606223777754537.html,akshare
2026-06-27,600519,贵州茅台,再添共管搭档！易方达张坤旗下两只产品增聘基金经理,从持仓来看，易方达行业领先聚焦在光通信、消费电子两大板块，前十大重仓股中同时持有贵州茅台（600519.SH）作为防御性配置。 张琦是工学博士，目前在管易方达创新成长、易方达策略成长、易方达策略2号三只基金。,界面新闻,http://finance.eastmoney.com/a/202606273785431313.html,akshare
2026-06-26,600519,贵州茅台,103股获杠杆资金净买入超亿元,5.35 环保 000657 中钨高新 5.60 24624.29 344123.50 2.24 有色金属 300346 南大光电 -2.96 24374.00 335965.36 6.85 电子 688256 寒武纪 3.58 23671.64 2609309.28 2.76 电子 600519,证券时报网,http://finance.eastmoney.com/a/202606263783954036.html,akshare
2026-06-27,600519,贵州茅台,顶流基金经理所管产品再度增聘 交出旗下两只基金“独管权”,该基金的前十大持仓依次为贵州茅台（600519.SH）、五粮液（000858.SZ）、泸州老窖（000568.SZ）、华住集团（01179.HK）、腾讯控股（00700.HK）、山西汾酒（600809.SH）、阿里巴巴（09988.HK）、中国海洋石油（00883.HK）、分众传媒,澎湃新闻,http://finance.eastmoney.com/a/202606273785414556.html,akshare
2026-06-24,000001,平安银行,中国金茂：非执行董事王葳辞任，杨列辉接任,杨列辉，1971年11月生，曾在中国进出口银行总行工作，2017年6月至2026年5月期间在平安银行（000001）先后担任交通金融事业部副总裁、派驻汽车生态事业部风险总监、总行授信审批部行业风险总监等多个职务，自2026年5月起加入中国平安人寿保险股份有限公司，任总部投资中心风险监控副总经理,财中社,http://finance.eastmoney.com/a/202606243781535171.html,akshare
2026-06-29,000001,平安银行,7.31亿元资金今日流入银行股,1.02 0.24 9080.48 600926 杭州银行 0.61 0.68 8840.48 601288 农业银行 0.81 0.13 7354.38 601166 兴业银行 0.66 0.48 6022.02 600000 浦发银行 -0.34 0.20 4917.04 000001,证券时报网,http://finance.eastmoney.com/a/202606293786684627.html,akshare
2026-06-24,000001,平安银行,银行行业资金流出榜：农业银行等9股净流出资金超5000万元,0.55 -11873.81 601818 光大银行 -2.25 0.66 -8453.96 600000 浦发银行 -4.09 0.32 -7233.11 601658 邮储银行 -2.77 0.27 -5999.58 601009 南京银行 -3.13 0.53 -5787.28 000001,证券时报网,http://finance.eastmoney.com/a/202606243781462536.html,akshare
2026-06-23,000001,平安银行,银行行业资金流入榜：工商银行、农业银行等净流入资金居前,上海银行 1.11 0.40 4198.11 601825 沪农商行 1.33 0.36 3958.13 601577 长沙银行 2.19 0.68 3667.95 600015 华夏银行 1.48 0.55 3574.74 601838 成都银行 1.85 0.64 3243.89 000001,证券时报网,http://finance.eastmoney.com/a/202606233779783438.html,akshare
2026-06-17,000001,平安银行,*ST华幸：平安人寿提名杨列辉为非独立董事候选人,杨列辉，1971年出生，曾任平安银行（000001）交通金融事业部副总裁、平安银行派驻汽车生态事业部风险总监、平安银行总行授信审批部行业风险总监、平安银行总行风险管理部资深风险专家、副首席风险专家，现任平安人寿总部投资中心风险监控副总经理。,财中社,http://finance.eastmoney.com/a/202606173774746488.html,akshare
2026-06-16,000001,平安银行,平安好医生：徐勤获委任首席财务官、董秘兼授权代表,徐勤，48岁，自2026年5月加入本公司并担任总经理助理，于2023年7月加入中国平安（601318/02318），还曾担任平安银行（000001）零售总监，法国兴业银行高级经理等职。,财中社,http://finance.eastmoney.com/a/202606163773090830.html,akshare
2026-06-27,000001,平安银行,供应商提供“虚假材料”的8类典型情形,比如，浙财罚决字〔2025〕第000001号案中，经执法机关核查，供应商提供的李某某的成人高等教育本科学历毕业证书，经学信网查询，该编号证书为专科学历毕业证书，与标书申报的本科学历不符。,中国政府采购报,http://finance.eastmoney.com/a/202606273785397940.html,akshare
2026-06-18,000001,平安银行,银行行业资金流出榜：工商银行、招商银行等净流出资金居前,34419.16 601658 邮储银行 -2.41 0.39 -30662.49 601166 兴业银行 -2.91 0.57 -26279.31 601988 中国银行 -2.69 0.17 -23362.37 601328 交通银行 -3.19 0.95 -19061.32 000001,证券时报网,http://finance.eastmoney.com/a/202606183776183310.html,akshare
2026-06-15,000001,平安银行,银行行业今日净流入资金15.15亿元，招商银行等8股净流入资金超5000万元,0.47 49445.26 601939 建设银行 -2.90 1.97 22803.30 601988 中国银行 -2.54 0.19 17766.48 600016 民生银行 0.00 0.85 12339.50 600926 杭州银行 -1.09 0.62 9758.27 000001,证券时报网,http://finance.eastmoney.com/a/202606153771590022.html,akshare
2026-06-16,000001,平安银行,银行板块持续回调，建行跌2.12%，工行成交27亿，机构：下半年银行股存估值修复空间,股份制银行走势不一，零售根基扎实的招商银行（600036.SH）、兴业银行（601166.SH）、浦发银行（600000.SH）跌幅不足 1%；平安银行（000001.SZ）、中信银行（601998.SH）、民生银行（600016.SH）跌幅小幅扩大，全天仅光大银行维持平盘，成为板块唯一未下跌的标的,时代财经,http://finance.eastmoney.com/a/202606163773320494.html,akshare
2026-05-15,601318,中国平安,中国平安601318.SH)：执行董事蔡方方辞任,2026年5月14日，中国平安601318.SH)公告称，公司收到蔡方方女士的辞职信函，其因工作安排辞去第十三届董事会执行董事、董事会关联交易控制与消费者权益保护委员会委员职务，辞任自2026年5月13日生效。,界面新闻,http://finance.eastmoney.com/a/202605153738283778.html,akshare
2026-06-26,601318,中国平安,互联网保险概念下跌4.75%，5股主力资金净流出超亿元,互联网保险概念资金流出榜 代码 简称 今日涨跌幅（%） 今日换手率（%） 主力资金流量（万元） 300059 东方财富 -4.93 4.66 -144373.03 601318 中国平安 -4.20 1.34 -77772.38 002230 科大讯飞 -6.14 2.88 -41414.68,证券时报网,http://finance.eastmoney.com/a/202606263784844027.html,akshare
2026-06-29,601318,中国平安,53股获融资客逆市净买入超亿元,非银金融 300433 蓝思科技 -0.23 13964.41 915064.91 3.31 电子 301511 德福科技 1.80 13681.70 226192.04 3.89 电力设备 300285 国瓷材料 4.48 13413.22 436011.32 4.97 电子 601318,证券时报网,http://finance.eastmoney.com/a/202606293785699285.html,akshare
2026-06-22,601318,中国平安,保险股集体大反弹：新华保险涨停，中国人寿一度涨超9%,6月22日，新华保险（601336.SH）、中国人寿（601628.SH）、中国平安（601318.SH）、中国人保（601319.SH）、中国太保（601601.SH）等普涨。 下午开盘后，新华保险迅速涨停，中国人寿一度涨超9%。,澎湃新闻,http://finance.eastmoney.com/a/202606223777914351.html,akshare
2026-06-23,601318,中国平安,16只个股大宗交易超5000万元,552.00 85.98 47460.96 3 552.00 0.00 688012 中微公司 -0.27 371.72 94.00 32763.70 3 348.55 -6.23 300327 中颖电子 -3.66 30.02 748.82 22479.72 1 30.02 0.00 601318,证券时报网,http://finance.eastmoney.com/a/202606233780088947.html,akshare
2026-06-25,601318,中国平安,68股获融资客大手笔净买入,电子 002008 大族激光 4.91 18604.12 747354.87 5.13 机械设备 688072 拓荆科技 6.49 18260.25 288476.39 1.24 电子 301396 宏景科技 20.00 17081.60 265785.12 6.31 计算机 601318,证券时报网,http://finance.eastmoney.com/a/202606253782332729.html,akshare
2026-06-22,601318,中国平安,互联网保险概念涨4.37%，主力资金净流入10股,（数据宝） 互联网保险概念资金流入榜  代码 简称 今日涨跌幅（%） 今日换手率（%） 主力资金流量（万元） 主力资金净流入比率（%） 300059 东方财富 12.74 8.27 379445.33 17.26 601318 中国平安 5.27 1.62 67327.58,证券时报网,http://finance.eastmoney.com/a/202606223778088670.html,akshare
2026-06-25,601318,中国平安,45.19亿元主力资金今日抢筹非银金融板块,1.92 0.57 -1331.64 600999 招商证券 2.42 2.53 -2766.65 000617 中油资本 0.43 0.82 -3077.18 300773 拉卡拉 -2.41 4.04 -4723.49 601601 中国太保 0.94 1.22 -8195.54 601318,证券时报网,http://finance.eastmoney.com/a/202606253783122537.html,akshare
2026-06-24,601318,中国平安,主力动向：6月24日特大单净流入380.71亿元,有色金属 600172 黄河旋风 17.10 0.88 -5.13 机械设备 601288 农业银行 6.34 -3.50 -5.03 银行 601991 大唐发电 7.82 -6.24 -5.00 公用事业 002648 卫星化学 25.66 1.91 -4.86 基础化工 601318,证券时报网,http://finance.eastmoney.com/a/202606243781460862.html,akshare
2026-06-24,601318,中国平安,非银金融行业今日净流出资金46.67亿元,非银金融行业资金流向排名 代码 简称 今日涨跌幅（%） 今日换手率（%） 主力资金流量（万元） 300059 东方财富 -3.44 5.31 -136612.37 000783 长江证券 -2.43 9.56 -68448.65 601318 中国平安 -2.54 1.03 -53584.94,证券时报网,http://finance.eastmoney.com/a/202606243781460085.html,akshare
2026-06-29,600036,招商银行,7.31亿元资金今日流入银行股,（数据宝） 银行行业资金流向排名  代码 简称 今日涨跌幅（%） 今日换手率（%） 主力资金流量（万元） 601398 工商银行 0.98 0.16 16681.72 600036 招商银行 1.17 0.52 12114.53 601328 交通银行 0.92 0.88,证券时报网,http://finance.eastmoney.com/a/202606293786684627.html,akshare
2026-06-29,600036,招商银行,真金白银入场！上市银行高管密集增持，多家银行成立市值管理小组,6月25日，招商银行 （600036.SH，03968.HK） 副行长彭家文在回应市值管理问题时表示，“招行高度重视市值管理，成立了市值管理小组，由我兼任组长。,界面新闻,http://finance.eastmoney.com/a/202606293786866829.html,akshare
2026-06-24,600036,招商银行,银行行业资金流出榜：农业银行等9股净流出资金超5000万元,（数据宝） 银行行业资金流向排名 代码 简称 今日涨跌幅（%） 今日换手率（%） 主力资金流量（万元） 601288 农业银行 -3.50 0.15 -56557.79 600036 招商银行 -1.71 0.60 -37935.26 601398 工商银行 -2.17 0.15,证券时报网,http://finance.eastmoney.com/a/202606243781462536.html,akshare
2026-06-17,600036,招商银行,招商银行在厦门成立租赁公司,股东信息显示，该公司由招商银行（600036）旗下招银航空航运金融租赁有限公司全资持股。,南方财经网,http://finance.eastmoney.com/a/202606173774306215.html,akshare
