code,name,n_days,pct_buy,pct_hold,pct_sell,mean_wuwen_pct,mean_calm_pct,mean_consensus_risk_pct,v2_return,momentum_return,meanrev_return,buyhold_return,v2_sharpe,momentum_sharpe,meanrev_sharpe,v2_mdd,momentum_mdd,meanrev_mdd,corr_signal_nextday
000001,平安银行,1680,0.478571,0.024405,0.497024,3.476190,0.402976,0.597024,-0.462291,-1.314816,-0.521448,-0.989652,0.295039,-0.129148,0.275169,-0.526690,-0.594856,-0.481207,0.014407
000333,美的集团,1640,0.510366,0.010976,0.478659,3.195122,0.351220,0.648780,-0.420482,-0.840322,1.288779,-0.281242,0.313238,0.158405,0.653110,-0.522815,-0.647457,-0.420388,0.002576
000858,五粮液,1680,0.498810,0.007738,0.493452,2.976190,0.355952,0.644048,1.444481,0.195991,-1.011823,0.416881,0.640553,0.453712,0.113068,-0.579351,-0.466998,-0.670859,0.034508
600036,招商银行,1680,0.519048,0.014881,0.466071,2.988095,0.402381,0.597619,-0.988456,-0.704660,0.764928,-0.229756,0.073609,0.207208,0.622499,-0.590752,-0.504156,-0.370282,-0.019576
600519,贵州茅台,1680,0.515476,0.015476,0.469048,2.511905,0.449405,0.550595,1.463212,-0.044803,-0.142772,1.199017,0.715772,0.423775,0.393498,-0.386977,-0.396230,-0.395510,0.029870
600900,长江电力,1669,0.538646,0.016777,0.444578,2.540443,0.582385,0.417615,-1.291913,-0.856352,-0.461086,0.995781,-0.341048,0.088225,0.373540,-0.424733,-0.243600,-0.194106,-0.072663
601012,隆基绿能,1674,0.495221,0.014337,0.490442,3.524492,0.323775,0.676225,0.163490,1.868760,-1.643800,-0.414733,0.444594,0.688053,-0.374043,-0.710351,-0.453081,-0.773448,0.020976
601318,中国平安,1680,0.478571,0.007143,0.514286,3.047619,0.437500,0.562500,-1.021849,-1.276390,-0.457589,-1.100465,0.029742,-0.132182,0.303311,-0.532135,-0.640962,-0.471150,-0.003148
