2026-01-05,000001,45.89,52.96,523,50.59,49.14,4400
2026-01-05,000333,46.85,48.89,540,45.85,48.92,4720
2026-01-05,000858,40.97,53.63,537,45.21,50.89,4720
2026-01-05,600036,51.94,46.40,541,47.57,49.18,4711
2026-01-05,600519,42.13,55.81,534,49.95,48.48,4641
2026-01-05,600900,51.02,47.50,541,55.10,44.23,4719
2026-01-05,601012,50.83,48.80,541,53.93,45.24,4728
2026-01-05,601318,43.62,50.46,541,51.31,44.39,4744
2026-01-06,000001,42.78,57.04,540,53.84,45.84,4625
2026-01-06,000333,48.52,47.96,540,46.58,48.27,4723
2026-01-06,000858,46.08,50.75,536,47.87,47.68,4673
2026-01-06,600036,40.85,55.64,541,44.12,51.83,4737
2026-01-06,600519,50.20,49.40,502,51.24,48.17,4372
2026-01-06,600900,59.44,40.00,540,60.21,38.95,4680
2026-01-06,601012,44.73,54.34,541,49.17,49.31,4743
2026-01-06,601318,43.44,51.02,541,46.49,48.56,4743
2026-01-07,000001,35.07,62.31,536,35.88,63.06,4426
2026-01-07,000333,43.15,50.74,540,44.50,50.79,4708
2026-01-07,000858,38.40,57.14,539,44.21,50.98,4598
2026-01-07,600036,52.13,45.45,539,43.66,54.03,4723
2026-01-07,600519,43.79,54.44,507,47.93,51.43,4062
2026-01-07,600900,62.22,37.22,540,51.34,48.10,4690
2026-01-07,601012,38.45,60.81,541,43.47,55.63,4744
2026-01-07,601318,46.77,49.72,541,45.23,50.65,4742
2026-01-08,000001,47.10,51.78,535,48.82,50.78,4523
2026-01-08,000333,46.28,51.12,538,43.03,53.58,4666
2026-01-08,000858,51.79,45.39,531,47.50,49.37,4602
2026-01-08,600036,57.86,40.67,541,53.66,44.48,4741
2026-01-08,600519,56.85,40.90,489,48.67,50.05,4272
2026-01-08,600900,65.11,34.33,536,60.60,39.04,4629
2026-01-08,601012,46.40,53.23,541,47.34,51.54,4736
2026-01-08,601318,51.39,45.84,541,45.76,50.30,4742
2026-01-09,000001,52.58,44.36,523,54.29,44.89,4529
2026-01-09,000333,57.22,37.96,540,49.46,46.89,4685
2026-01-09,000858,57.25,36.80,538,51.04,44.00,4598
2026-01-09,600036,56.01,41.40,541,50.53,45.74,4742
2026-01-09,600519,53.78,46.22,489,54.35,45.00,3987
2026-01-09,600900,56.40,43.04,539,56.20,43.18,4699
2026-01-09,601012,58.96,40.67,541,54.76,43.91,4744
2026-01-09,601318,46.58,48.98,541,47.60,49.41,4744
2026-01-12,000001,45.94,53.12,529,57.71,41.61,4571
2026-01-12,000333,44.55,52.13,541,46.98,48.61,4738
2026-01-12,000858,42.14,51.94,541,46.14,49.15,4688
2026-01-12,600036,51.76,46.21,541,55.26,42.25,4727
2026-01-12,600519,38.72,60.28,501,48.05,51.28,4189
2026-01-12,600900,52.41,46.67,540,55.12,43.94,4706
2026-01-12,601012,50.83,48.61,541,51.52,47.15,4744
2026-01-12,601318,43.99,51.57,541,46.94,49.56,4744
2026-01-13,000001,53.17,46.27,536,37.02,62.78,4562
2026-01-13,000333,46.31,49.45,542,43.96,53.02,4738
2026-01-13,000858,42.75,54.28,538,41.54,53.33,4637
2026-01-13,600036,60.93,33.89,540,54.53,41.47,4731
2026-01-13,600519,54.12,45.07,497,46.39,52.50,4223
2026-01-13,600900,59.48,40.15,538,55.38,43.85,4686
2026-01-13,601012,49.54,49.54,541,49.60,48.55,4744
2026-01-13,601318,44.92,52.31,541,46.14,49.85,4744
2026-01-14,000001,47.22,52.22,540,52.97,46.75,4616
2026-01-14,000333,41.88,53.87,542,44.00,52.12,4741
2026-01-14,000858,51.48,41.67,540,46.75,47.85,4708
2026-01-14,600036,59.89,38.45,541,53.48,43.33,4738
2026-01-14,600519,49.06,50.00,534,51.43,47.70,4453
2026-01-14,600900,64.70,34.75,541,59.75,39.67,4731
2026-01-14,601012,43.62,54.53,541,45.22,53.41,4744
2026-01-14,601318,43.07,54.53,541,47.50,48.98,4741
2026-01-15,000001,38.08,61.92,541,40.52,59.31,4534
2026-01-15,000333,33.83,61.34,538,40.66,56.14,4717
2026-01-15,000858,44.61,50.00,538,44.16,51.07,4674
2026-01-15,600036,55.45,42.51,541,58.48,38.65,4740
2026-01-15,600519,36.72,60.74,512,43.49,54.99,4355
2026-01-15,600900,47.87,50.46,541,56.77,42.28,4735
2026-01-15,601012,44.18,55.08,541,50.36,48.21,4738
2026-01-15,601318,40.85,53.42,541,46.13,49.65,4743
2026-01-16,000001,52.41,47.59,540,45.31,54.43,4608
2026-01-16,000333,43.33,50.19,540,40.59,54.68,4720
2026-01-16,000858,45.93,50.37,540,43.56,52.41,4711
2026-01-16,600036,52.50,43.99,541,52.45,44.52,4742
2026-01-16,600519,45.51,53.56,534,48.24,50.94,4621
2026-01-16,600900,53.05,46.95,541,57.04,41.19,4742
2026-01-16,601012,41.77,56.93,541,46.88,51.56,4740
2026-01-16,601318,50.46,43.62,541,45.04,50.86,4740
2026-01-19,000001,33.40,66.04,536,37.52,62.21,4581
2026-01-19,000333,40.78,56.24,537,41.33,55.46,4663
2026-01-19,000858,48.89,47.78,540,46.59,50.27,4711
2026-01-19,600036,58.78,37.34,541,56.83,39.76,4739
2026-01-19,600519,46.50,50.19,514,45.79,52.76,4418
2026-01-19,600900,64.75,34.51,539,55.76,42.50,4711
2026-01-19,601012,54.90,44.92,541,46.39,51.88,4736
2026-01-19,601318,49.72,46.03,541,49.74,45.44,4743
