code,name,mode,n_days,strategy_return,buyhold_return,sharpe,corr_signal_nextday,corr_signal_nextopen,corr_feat_vs_nextopen,pct_buy_days
600036,招商银行,open30_pure,115,-0.023019,-0.119013,-0.843729,0.050235,0.087829,0.057310,8.695652
600036,招商银行,big_pure,115,0.005083,-0.119013,-0.073714,0.020292,-0.052315,0.079205,5.217391
600036,招商银行,delta_pure,115,-0.019531,-0.119013,-0.599518,-0.061580,-0.239242,-0.204455,17.391304
600036,招商银行,tail_pure,115,-0.008035,-0.119013,-0.291235,0.156729,0.261913,0.213390,28.695652
600036,招商银行,chg_pure,115,0.041164,-0.119013,0.728297,0.194552,0.100741,0.019288,49.565217
600036,招商银行,flow_delta,115,0.052184,-0.119013,0.904922,0.162284,-0.050333,0.212201,24.347826
600036,招商银行,intensity,115,0.031461,-0.119013,0.595505,0.121780,0.033796,0.212201,13.043478
600036,招商银行,vw7,115,0.010098,-0.119013,0.071297,0.095081,-0.116062,0.005897,40.869565
600036,招商银行,delta7,115,-0.002585,-0.119013,-0.215761,0.058974,-0.163083,-0.204455,40.000000
600036,招商银行,big7,115,0.010098,-0.119013,0.071297,0.095081,-0.116062,0.079205,40.869565
600036,招商银行,contra,115,-0.020344,-0.119013,-0.552241,0.219686,0.190845,0.212201,21.739130
600036,招商银行,open30_gap,115,-0.023019,-0.119013,-0.843729,0.050235,0.087829,0.057310,8.695652
600036,招商银行,combo,115,0.010098,-0.119013,0.071297,0.036167,-0.186208,0.005897,34.782609
600036,招商银行,volatile_flow,115,0.013507,-0.119013,0.148363,0.139599,-0.045683,0.212201,33.913043
600519,贵州茅台,flow_pure,115,0.060944,-0.145224,1.158169,0.076847,0.083395,0.174856,2.608696
600519,贵州茅台,vw_pure,115,-0.034978,-0.145224,-0.591729,0.016515,0.088878,0.073538,12.173913
600519,贵州茅台,open30_pure,115,-0.029095,-0.145224,-0.533146,-0.049108,-0.036001,0.028556,13.043478
600519,贵州茅台,big_pure,115,-0.063012,-0.145224,-1.023906,-0.070034,0.039797,-0.010767,25.217391
600519,贵州茅台,delta_pure,115,-0.030031,-0.145224,-0.288418,0.021913,0.102032,-0.002860,19.130435
600519,贵州茅台,tail_pure,115,0.000192,-0.145224,-0.077774,0.011072,0.052518,0.066612,12.173913
600519,贵州茅台,chg_pure,115,-0.124073,-0.145224,-1.983819,-0.059535,0.108306,-0.141766,50.434783
600519,贵州茅台,flow_delta,115,-0.004529,-0.145224,-0.180837,0.069262,0.146651,0.174856,15.652174
